anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
2018,Cuarto Trimestre,Diciembre,P09-1214242,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 2500,2014-12-26,2024-12-26,3653,2187,2500000000.0,0.0,312500000.0,119142795.1,431642795.2,1875000000.0,-312500000.0,5.75,0.89875,5.75
2018,Cuarto Trimestre,Diciembre,P09-1215163,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 3,500",2015-12-30,2022-12-26,2553,1456,3500000000.0,0.0,700000000.0,268178084.9,968178084.8,2800000000.0,-700000000.0,TIIE,0.38,TIIE+0.38
2018,Cuarto Trimestre,Diciembre,P09-1216082,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-15",2016-12-30,1931-12-26,5474,4743,3000000000.0,0.0,214285714.3,241805000.0,456090714.3,2785714286.0,-214285714.3,8.22,0.34,8.22
2018,Cuarto Trimestre,Diciembre,P09-1216083,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-7",2016-12-30,2023-12-26,2552,1821,3000000000.0,0.0,500000000.0,214275833.3,714275833.4,2500000000.0,-500000000.0,7.63,0.4625,7.63
2018,Cuarto Trimestre,Diciembre,P09-1217134,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,378",2017-12-29,1932-12-27,5477,5110,1378859929.0,0.0,91923995.28,111279161.8,203203157.1,1286935934.0,-91923995.28,TIIE,0.34,TIIE+0.34
2018,Cuarto Trimestre,Diciembre,P09-1218140,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-18",2018-12-31,2028-12-26,3648,3648,3000000000.0,3000000000.0,0.0,0.0,0.0,3000000000.0,3000000000.0,9.12,0.39,9.12
2018,Cuarto Trimestre,Diciembre,233/2007,Largo Plazo,Banca Comercial,HSBC,"HSBC 7,000",2007-09-07,1947-09-25,14628,10495,7000000000.0,0.0,0.0,602267886.1,602267886.1,7000000000.0,0.0,TIIE,0.53,TIIE+0.53
2018,Cuarto Trimestre,Diciembre,261/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,459",2007-10-17,1940-10-25,12062,7969,4459000000.0,0.0,31070327.46,359859863.0,390930190.5,4265863281.0,-31070327.46,TIIE,0.35,TIIE+0.35
2018,Cuarto Trimestre,Diciembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,2007-12-17,2027-11-22,7280,3248,575000000.0,0.0,0.0,50290138.88,50290138.88,575000000.0,0.0,8.65,0.35,8.65
2018,Cuarto Trimestre,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,2015-09-25,2020-09-18,1820,627,1382000000.0,0.0,0.0,112239897.8,114916371.1,1382000000.0,0.0,TIIE,0.12,TIIE+0.12
2018,Cuarto Trimestre,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 294,2012-11-30,1932-11-25,7300,5078,294874160.0,0.0,0.0,23618601.14,23618601.14,294874160.0,0.0,7.02,0.88,7.9
2018,Cuarto Trimestre,Diciembre,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,2014-11-03,2024-10-21,3640,2121,2500000000.0,0.0,0.0,162283333.3,162729166.7,2500000000.0,0.0,6.42,0.89875,6.42
2018,Cuarto Trimestre,Diciembre,P09-1213189,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,024",2013-12-31,2023-10-25,3585,1759,1024317877.0,0.0,123317629.2,68849419.7,192167048.9,753461598.2,-123317629.2,TIIE,0.32,TIIE+0.32
2018,Cuarto Trimestre,Diciembre,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,2016-12-09,2021-12-03,1820,1068,1000000000.0,0.0,0.0,84037222.2,87528055.51,1000000000.0,0.0,TIIE,0.42,TIIE+0.42
2018,Cuarto Trimestre,Diciembre,P09-1217133,Largo Plazo,Banca Comercial,HSBC,"HSBC 2,500",2017-12-29,2024-12-26,2554,2187,2500000000.0,0.0,357142857.1,175102777.8,532245634.9,2142857143.0,-357142857.1,7.46,0.35,7.46
2018,Cuarto Trimestre,Diciembre,260/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,806",2007-10-17,1937-10-26,10967,6874,4806995489.0,0.0,19520976.19,396458617.8,415979594.0,4704659826.0,-19520976.19,TIIE,0.35,TIIE+0.35
2018,Cuarto Trimestre,Diciembre,262/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 4,000",2007-10-17,1947-10-25,14618,10525,4000000000.0,0.0,0.0,343610222.2,343610222.2,4000000000.0,0.0,TIIE,0.53,TIIE+0.53
2018,Cuarto Trimestre,Diciembre,514/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS  175,2009-12-24,2028-11-27,6913,3619,174978799.6,0.0,9687716.64,8511421.21,18199137.85,96069856.37,-9687716.64,TIIE,0.35,TIIE+0.35
2018,Cuarto Trimestre,Diciembre,721/2011,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 1,500",2011-12-29,2026-12-28,5478,2919,1500000000.0,0.0,80838324.0,65883142.04,146721466.0,1014970056.0,-80838324.0,TIIE,TIIE-1.815,TIIE+TIIE-1.815
2018,Cuarto Trimestre,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,2015-09-25,2025-09-12,3640,2447,2500000000.0,0.0,0.0,169361111.1,169361111.1,2500000000.0,0.0,6.7,0.88,6.7
2018,Cuarto Trimestre,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 196,2013-11-07,1932-11-25,6958,5078,196783977.0,0.0,0.0,17118566.15,17118566.15,196783977.0,0.0,7.7,0.88,8.58
2018,Cuarto Trimestre,Diciembre,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,2012-11-30,2027-11-12,5460,3238,2500000000.0,0.0,0.0,173152777.8,173152777.8,2500000000.0,0.0,6.85,0.8928571428571429,6.85
2018,Cuarto Trimestre,Diciembre,P09-1118104,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 18V,2018-11-21,2028-11-08,3640,3600,1100000000.0,1100000000.0,0.0,0.0,55221833.33,1100000000.0,1100000000.0,9.93,0.89875,9.93
2018,Cuarto Trimestre,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,954",2012-12-28,2027-11-25,5445,3251,1954226708.0,0.0,140423476.1,92628369.66,233051845.7,1252109328.0,-140423476.1,5.97,0.91,6.88
2018,Cuarto Trimestre,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS 145,2012-12-31,2027-11-25,5442,3251,145773291.7,0.0,10474727.52,6899463.73,17374191.25,93399654.14,-10474727.52,5.96,0.91,6.87
2018,Cuarto Trimestre,Diciembre,P09-1214244,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,949",2014-12-31,2029-11-26,5444,3983,1949386371.0,0.0,150920235.2,145459606.2,296379841.4,1647545901.0,-150920235.2,TIIE,0.36,TIIE+0.36
2018,Cuarto Trimestre,Diciembre,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",2015-12-29,2025-12-26,3650,2552,1000000000.0,0.0,55555555.56,74581229.21,130136784.8,851069383.6,-55555555.56,TIIE,0.41,TIIE+0.41
2018,Cuarto Trimestre,Diciembre,P09-1218138,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 2,400",2018-12-31,2028-12-26,3648,3648,2400000000.0,2400000000.0,0.0,0.0,0.0,2400000000.0,2400000000.0,9.55,0.33999999999999997,9.55
2018,Cuarto Trimestre,Diciembre,P09-1218139,Largo Plazo,Banca Comercial,HSBC,"HSBC 1,170",2018-12-31,2028-12-26,3648,3648,1170915400.0,1170915400.0,0.0,0.0,0.0,1170915400.0,1170915400.0,9.67,0.2,9.67
2019,Primer Trimestre,Marzo,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",2007-08-31,1937-07-27,10923,6693,4700000000.0,0.0,5701204.94,101086617.8,106787822.7,4600748884.0,-5701204.94,8.8,0.46,8.8
2019,Primer Trimestre,Marzo,260/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,806",2007-10-17,1937-10-26,10967,6784,4806995489.0,0.0,5529106.05,103669736.1,109198842.1,4699130720.0,-5529106.05,TIIE,0.35,TIIE+0.35
2019,Primer Trimestre,Marzo,261/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,459",2007-10-17,1940-10-25,12062,7879,4459000000.0,0.0,8424811.23,93913013.59,102337824.8,4257438470.0,-8424811.23,TIIE,0.35,TIIE+0.35
2019,Primer Trimestre,Marzo,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,2015-09-25,2020-09-18,1820,537,1382000000.0,0.0,0.0,27839622.22,29129488.87,1382000000.0,0.0,TIIE,0.12,TIIE+0.12
2019,Primer Trimestre,Marzo,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 196,2013-11-07,1932-11-25,6958,4988,196783977.0,0.0,0.0,4174116.13,4174116.13,196783977.0,0.0,7.7,0.88,8.58
2019,Primer Trimestre,Marzo,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,2014-11-03,2024-10-21,3640,2031,2500000000.0,0.0,0.0,0.0,0.0,2500000000.0,0.0,6.42,0.8941666666666666,6.42
2019,Primer Trimestre,Marzo,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,2012-11-30,2027-11-12,5460,3148,2500000000.0,0.0,0.0,0.0,0.0,2500000000.0,0.0,6.85,0.89875,6.85
2019,Primer Trimestre,Marzo,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS 145,2012-12-31,2027-11-25,5442,3161,145773291.7,0.0,2618681.88,1571823.07,4190504.95,90780972.26,-2618681.88,5.96,0.91,6.87
2019,Primer Trimestre,Marzo,P09-1214244,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,949",2014-12-31,2029-11-26,5444,3893,1949386371.0,0.0,37730058.81,36087893.56,73817952.37,1609815842.0,-37730058.81,TIIE,0.36,TIIE+0.36
2019,Primer Trimestre,Marzo,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",2015-12-29,2025-12-26,3650,2462,1000000000.0,0.0,13888888.89,18786744.24,32675633.13,837180494.8,-13888888.89,TIIE,0.41,TIIE+0.41
2019,Primer Trimestre,Marzo,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,2016-12-09,2021-12-03,1820,978,1000000000.0,0.0,0.0,27805555.56,28785555.57,1000000000.0,0.0,TIIE,0.42,TIIE+0.42
2019,Primer Trimestre,Marzo,P09-1216083,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-7",2016-12-30,2023-12-26,2552,1731,3000000000.0,0.0,125000000.0,46389340.27,171389340.3,2375000000.0,-125000000.0,7.63,0.35,7.63
2019,Primer Trimestre,Marzo,P09-1217133,Largo Plazo,Banca Comercial,HSBC,"HSBC 2,500",2017-12-29,2024-12-26,2554,2097,2500000000.0,0.0,89285714.28,38983680.55,128269394.8,2053571429.0,-89285714.28,7.46,0.53,7.46
2019,Segundo Trimestre,Junio,225/2007,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 7000,2007-08-31,1940-08-27,12050,7729,7000000000.0,0.0,29119959.16,144212999.7,173332958.9,6313524231.0,-29119959.16,8.91,TIIE-1.815,8.91
2019,Segundo Trimestre,Junio,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",2007-08-31,1937-07-27,10923,6602,4700000000.0,0.0,5996937.34,104362457.6,110359394.9,4594751946.0,-5996937.34,8.8,0.3844444444444444,8.8
2019,Segundo Trimestre,Junio,233/2007,Largo Plazo,Banca Comercial,HSBC,"HSBC 7,000",2007-09-07,1947-09-25,14628,10314,7000000000.0,0.0,0.0,161654305.6,161654305.6,7000000000.0,0.0,TIIE,0.53,TIIE+0.53
2019,Segundo Trimestre,Junio,262/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 4,000",2007-10-17,1947-10-25,14618,10344,4000000000.0,0.0,0.0,92347633.34,92347633.34,4000000000.0,0.0,TIIE,0.53,TIIE+0.53
2019,Segundo Trimestre,Junio,721/2011,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 1,500",2011-12-29,2026-12-28,5478,2738,1500000000.0,0.0,20209581.0,16901387.21,37110968.21,974550894.0,-20209581.0,TIIE,TIIE-1.815,TIIE+TIIE-1.815
2019,Segundo Trimestre,Junio,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,2015-09-25,2020-09-18,1820,446,1382000000.0,0.0,230333333.3,37105164.44,267470744.5,1151666667.0,-230333333.3,TIIE,0.12,TIIE+0.12
2019,Segundo Trimestre,Junio,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,2015-09-25,2025-09-12,3640,2266,2500000000.0,0.0,0.0,0.0,0.0,2500000000.0,0.0,6.7,0.8800000000000001,6.7
2019,Segundo Trimestre,Junio,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 196,2013-11-07,1932-11-25,6958,4897,196783977.0,0.0,0.0,4314816.67,4314816.67,196783977.0,0.0,7.7,0.88,8.58
2019,Segundo Trimestre,Junio,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,"BANOBRAS 2,138",2012-11-12,1932-11-25,7318,4897,2138648319.0,0.0,0.0,43559513.72,43559513.72,2138648319.0,0.0,7.09,0.88,7.97
2019,Segundo Trimestre,Junio,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 294,2012-11-30,1932-11-25,7300,4897,294874160.0,0.0,0.0,5953181.66,5953181.66,294874160.0,0.0,7.02,0.88,7.9
2019,Segundo Trimestre,Junio,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,2012-11-30,2027-11-12,5460,3057,2500000000.0,0.0,0.0,86576388.89,86576388.89,2500000000.0,0.0,6.85,0.91,6.85
2019,Segundo Trimestre,Junio,P09-1213198,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 3,500",2013-12-31,2023-12-26,3647,1640,3500000000.0,0.0,109375000.0,32611037.62,141986037.6,1968750000.0,-109375000.0,5.74,0.91,5.74
2019,Segundo Trimestre,Junio,P09-1214242,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 2500,2014-12-26,2024-12-26,3653,2006,2500000000.0,0.0,78125000.01,26029730.91,104154730.9,1718750000.0,-78125000.01,5.75,0.3266666666666667,5.75
2019,Segundo Trimestre,Junio,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",2015-12-29,2025-12-26,3650,2371,1000000000.0,0.0,13888888.89,18968033.17,32856922.06,823291605.9,-13888888.89,TIIE,0.41,TIIE+0.41
2019,Segundo Trimestre,Junio,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,2016-12-09,2021-12-03,1820,887,1000000000.0,0.0,0.0,20821111.12,20821111.12,1000000000.0,0.0,TIIE,0.42,TIIE+0.42
2019,Segundo Trimestre,Junio,P09-1217133,Largo Plazo,Banca Comercial,HSBC,"HSBC 2,500",2017-12-29,2024-12-26,2554,2006,2500000000.0,0.0,89285714.28,38595138.89,127880853.2,1964285714.0,-89285714.28,7.46,0.35,7.46
2019,Segundo Trimestre,Junio,P09-1218138,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 2,400",2018-12-31,2028-12-26,3648,3467,2400000000.0,0.0,0.0,58573333.33,58573333.33,2400000000.0,0.0,9.55,0.53,9.55
2019,Tercer Trimestre,Septiembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 10-2,2010-06-25,2020-06-12,3640,256,2520951200.0,0.0,0.0,0.0,0.0,2520951200.0,0.0,7.9,TIIE-1.815,7.9
2019,Tercer Trimestre,Septiembre,224/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,457",2007-08-30,1937-07-27,10924,6510,3457974221.0,0.0,4641050.16,75726143.29,80367193.45,3375898052.0,-4641050.16,TIIE,0.35,TIIE+0.35
2019,Tercer Trimestre,Septiembre,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",2007-08-31,1937-07-27,10923,6510,4700000000.0,0.0,6308009.96,104223062.9,110531072.9,4588443936.0,-6308009.96,8.8,0.22000000000000003,8.8
2019,Tercer Trimestre,Septiembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,2007-12-17,2027-11-22,7280,2975,575000000.0,0.0,0.0,0.0,0.0,575000000.0,0.0,8.65,0.49000000000000005,8.65
2019,Tercer Trimestre,Septiembre,513/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,914",2008-12-26,2019-10-25,3955,25,1914680897.0,0.0,51097322.01,403409.1,51500731.11,0.0,-51097322.01,TIIE,0.97,TIIE+0.97
2019,Tercer Trimestre,Septiembre,562/2010,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,499",2010-12-28,1940-10-25,10894,7696,1499069398.0,0.0,9027777.9,27485464.7,36513242.6,1171986064.0,-9027777.9,9.13,0.8800000000000001,9.13
2019,Tercer Trimestre,Septiembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,2017-09-19,2028-03-07,3822,3081,2000000000.0,0.0,0.0,76844444.44,76844444.44,2000000000.0,0.0,7.6,0.8800000000000001,7.6
2019,Tercer Trimestre,Septiembre,P09-1118104,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 18V,2018-11-21,2028-11-08,3640,3327,1100000000.0,0.0,0.0,0.0,0.0,1100000000.0,0.0,9.93,0.77875,9.93
2019,Tercer Trimestre,Septiembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,954",2012-12-28,2027-11-25,5445,2978,1954226708.0,0.0,35105869.02,20574639.68,55680508.7,1146791721.0,-35105869.02,5.97,0.91,6.88
2019,Tercer Trimestre,Septiembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS 145,2012-12-31,2027-11-25,5442,2978,145773291.7,0.0,2618681.88,1532510.84,4151192.72,85543608.5,-2618681.88,5.96,0.91,6.87
2019,Tercer Trimestre,Septiembre,P09-1213189,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,024",2013-12-31,2023-10-25,3585,1486,1024317877.0,0.0,38703850.98,14814894.77,53518745.75,637350045.2,-38703850.98,TIIE,0.32,TIIE+0.32
2019,Tercer Trimestre,Septiembre,P09-1213198,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 3,500",2013-12-31,2023-12-26,3647,1548,3500000000.0,0.0,109375000.0,30405445.89,139780445.9,1859375000.0,-109375000.0,5.74,0.36,5.74
2019,Tercer Trimestre,Septiembre,P09-1214242,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 2500,2014-12-26,2024-12-26,3653,1914,2500000000.0,0.0,78125000.01,24873408.56,102998408.6,1640625000.0,-78125000.01,5.75,0.41,5.75
2019,Tercer Trimestre,Septiembre,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",2015-12-29,2025-12-26,3650,2279,1000000000.0,0.0,13888888.89,18475159.6,32364048.49,809402717.0,-13888888.89,TIIE,0.41,TIIE+0.41
2019,Tercer Trimestre,Septiembre,P09-1215163,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 3,500",2015-12-30,2022-12-26,2553,1183,3500000000.0,0.0,175000000.0,53792987.5,228792987.5,2275000000.0,-175000000.0,TIIE,0.38,TIIE+0.38
2019,Tercer Trimestre,Septiembre,P09-1216083,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-7",2016-12-30,2023-12-26,2552,1548,3000000000.0,0.0,125000000.0,43060046.3,168060046.3,2125000000.0,-125000000.0,7.63,0.42,7.63
2019,Tercer Trimestre,Septiembre,P09-1217133,Largo Plazo,Banca Comercial,HSBC,"HSBC 2,500",2017-12-29,2024-12-26,2554,1914,2500000000.0,0.0,89285714.28,36880621.69,126166336.0,1875000000.0,-89285714.28,7.46,0.9699999999999999,7.46
2019,Tercer Trimestre,Septiembre,P09-1217134,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,378",2017-12-29,1932-12-27,5477,4837,1378859929.0,0.0,22980998.82,27612315.69,50593314.51,1217992937.0,-22980998.82,TIIE,0.34,TIIE+0.34
2019,Tercer Trimestre,Septiembre,P09-1218138,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 2,400",2018-12-31,2028-12-26,3648,3375,2400000000.0,0.0,0.0,58573333.33,58573333.33,2400000000.0,0.0,9.55,TIIE-1.815,9.55
2019,Tercer Trimestre,Septiembre,P09-1218139,Largo Plazo,Banca Comercial,HSBC,"HSBC 1,170",2018-12-31,2028-12-26,3648,3375,1170915400.0,0.0,0.0,28935921.56,28935921.56,1170915400.0,0.0,9.67,0.35,9.67
2019,Cuarto Trimestre,Diciembre,233/2007,Largo Plazo,Banca Comercial,HSBC,"HSBC 7,000",2007-09-07,1947-09-25,14628,10130,7000000000.0,0.0,0.0,631507586.1,631507586.1,7000000000.0,0.0,TIIE,0.53,TIIE+0.53
2019,Cuarto Trimestre,Diciembre,261/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,459",2007-10-17,1940-10-25,12062,7604,4459000000.0,0.0,35420169.89,375400961.0,410821130.9,4230443111.0,-35420169.89,TIIE,0.35,TIIE+0.35
2019,Cuarto Trimestre,Diciembre,514/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS  175,2009-12-24,2028-11-27,6913,3254,174978799.6,0.0,9687716.64,8102993.51,17790710.15,86382139.73,-9687716.64,TIIE,0.35,TIIE+0.35
2019,Cuarto Trimestre,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,2015-09-25,2020-09-18,1820,262,1382000000.0,0.0,0.0,118796720.0,120118833.3,460666666.6,0.0,TIIE,0.12,TIIE+0.12
2019,Cuarto Trimestre,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,2015-09-25,2025-09-12,3640,2082,2500000000.0,0.0,0.0,169361111.1,169361111.1,2500000000.0,0.0,6.7,0.88,6.7
2019,Cuarto Trimestre,Diciembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,2017-09-19,2028-03-07,3822,2989,2000000000.0,0.0,0.0,153688888.9,153688888.9,2000000000.0,0.0,7.6,0.8903240740740741,7.6
2019,Cuarto Trimestre,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,"BANOBRAS 2,138",2012-11-12,1932-11-25,7318,4713,2138648319.0,0.0,0.0,172817636.0,172817636.0,2138648319.0,0.0,7.09,0.88,7.97
2019,Cuarto Trimestre,Diciembre,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,2012-11-30,2027-11-12,5460,2873,2500000000.0,0.0,0.0,173152777.8,173152777.8,2500000000.0,0.0,6.85,0.7787500000000002,6.85
2019,Cuarto Trimestre,Diciembre,P09-1118104,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 18V,2018-11-21,2028-11-08,3640,3235,1100000000.0,0.0,0.0,110443666.7,110443666.7,1100000000.0,0.0,9.93,0.91,9.93
2019,Cuarto Trimestre,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,954",2012-12-28,2027-11-25,5445,2886,1954226708.0,0.0,140423476.1,82828579.31,223252055.4,1111685852.0,-140423476.1,5.97,0.91,6.88
